tweets,y_true,y_pred,y_pred_2
chelsea,person_facepalming,rolling_on_the_floor_laughing,person_facepalming
watching movies cuddling eat snacks,weary_face,rolling_on_the_floor_laughing,person_facepalming
can you imagine how powerful dck would be,weary_face,rolling_on_the_floor_laughing,thinking_face
forever in our hearts these females cold bruh,folded_hands,folded_hands,person_facepalming
yas army need to teach rm a lesson,weary_face,folded_hands,rolling_on_the_floor_laughing
i want to take my mom to this for her birthday but its in grand junction,weary_face,weary_face,person_facepalming
was arrested this morning in for assault with a weapon and kidnapping,person_facepalming,person_facepalming,rolling_on_the_floor_laughing
almost 1000 followers,folded_hands,rolling_on_the_floor_laughing,person_facepalming
chanyeol please be careful your safety comes first,folded_hands,folded_hands,weary_face
what do we have here now,thinking_face,rolling_on_the_floor_laughing,person_facepalming
there are mean parents and then there are parents who switch off the wifi at night,person_facepalming,thinking_face,person_facepalming
i need this tmrw,weary_face,rolling_on_the_floor_laughing,person_facepalming
taylor swift ed sheeran are friendship goals times infinity,folded_hands,folded_hands,thinking_face
maybe the patriots should have been watching nick foles warmups closer,thinking_face,thinking_face,rolling_on_the_floor_laughing
were going all out tonight its what bts deserves,folded_hands,folded_hands,rolling_on_the_floor_laughing
please help find her retweet share lets bring snowabise home south africa,folded_hands,folded_hands,weary_face
it be your own friends some times,person_facepalming,person_facepalming,rolling_on_the_floor_laughing
blessed too receive my first offer from southwestern university of texas,folded_hands,folded_hands,person_facepalming
im sorry the old jejemons cant come to the phone right now why oh cause theyre dead,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,person_facepalming
breast pictures this early morning,weary_face,rolling_on_the_floor_laughing,person_facepalming
please help man needs his boat,folded_hands,folded_hands,weary_face
well thats typical fg politics have a go at sf rather then addressing the actual issue ah well,weary_face,thinking_face,rolling_on_the_floor_laughing
is this weki meki fanbase or doyeon fanbase,thinking_face,person_facepalming,rolling_on_the_floor_laughing
aint gone lie thats me,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,person_facepalming
incredible vibes at salle wagram thanks to,folded_hands,folded_hands,rolling_on_the_floor_laughing
how many bags can you fit in a yorkshire tea caddy,thinking_face,thinking_face,rolling_on_the_floor_laughing
kyungsoo adorably trying to copy the members socalled talents lmao,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,weary_face
this gif kills me death is literally gushing towards you and you really gon do a whole 3point turn,weary_face,weary_face,person_facepalming
no bitch never disrespected me in person so i give 0 fucks what a bitch post on social media she fooling yall not me,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,person_facepalming
does anyone know if i staying at a hotel near blakes,weary_face,rolling_on_the_floor_laughing,thinking_face
ctfuu you mean day,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,person_facepalming
where are the females with morals why i keep running into hoodrats,weary_face,person_facepalming,thinking_face
what when where i need answers,folded_hands,rolling_on_the_floor_laughing,person_facepalming
any man that loves to show off his woman is a winner,folded_hands,folded_hands,rolling_on_the_floor_laughing
daddy yankee and steve aoki made a fucking banger,folded_hands,person_facepalming,rolling_on_the_floor_laughing
chris webber,person_facepalming,rolling_on_the_floor_laughing,person_facepalming
this sunday dinner plate my mama sent me back with omg,weary_face,weary_face,folded_hands
my instagram been stuck at 900 for the longest,person_facepalming,person_facepalming,weary_face
im on my last week of being 25 and yes to both but im not american so maybe thats a factor,thinking_face,weary_face,rolling_on_the_floor_laughing
eric bailly has a death wish,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,person_facepalming
what yall think cajun chicken amp macaroni and cheese,thinking_face,thinking_face,rolling_on_the_floor_laughing
smart school uniform commercial cctv version not sure what they are doing,person_facepalming,person_facepalming,folded_hands
we played some mystery lunchbox games with and it didnt go so well,person_facepalming,person_facepalming,rolling_on_the_floor_laughing
hey guys just wanted to announce im a true freshman on im ut womens basketball team owe it all to the man upstairs,folded_hands,weary_face,folded_hands
aww youre amazing thank you so much,weary_face,folded_hands,rolling_on_the_floor_laughing
donnn could you please let speak,weary_face,folded_hands,rolling_on_the_floor_laughing
nigga you pulling up on the wrong people they jus work there they didnt design the shit,person_facepalming,person_facepalming,rolling_on_the_floor_laughing
i be cutting everybody off because they just be in the fucking way,weary_face,person_facepalming,rolling_on_the_floor_laughing
i simply asked him to kill the bug,person_facepalming,person_facepalming,rolling_on_the_floor_laughing
9 years later and i couldnt be more blessed,folded_hands,person_facepalming,folded_hands
hanging out the window rest in peace to geemoney,folded_hands,folded_hands,rolling_on_the_floor_laughing
when youre trying to get through a long ass day,weary_face,person_facepalming,weary_face
never open internet for study because its a trap,person_facepalming,person_facepalming,rolling_on_the_floor_laughing
me and him been through it all amp ill do it again all for him i cant imagine myself fighting how we fight w another boy,weary_face,person_facepalming,weary_face
my red velvet album arrived,weary_face,rolling_on_the_floor_laughing,folded_hands
honestly im tired of this app,rolling_on_the_floor_laughing,person_facepalming,rolling_on_the_floor_laughing
retweet if yu would answer,folded_hands,rolling_on_the_floor_laughing,folded_hands
gracias,folded_hands,rolling_on_the_floor_laughing,person_facepalming
outfit for the night cant decide between gold or silver heels,thinking_face,thinking_face,person_facepalming
i wish my son couldve met his grandpa,weary_face,person_facepalming,weary_face
rt this and in 5 minutes good luck will come,folded_hands,folded_hands,weary_face
is that a pocket pussy,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,person_facepalming
this gif kills me death is literally gushing towards you and you really gon do a whole 3point turn,weary_face,weary_face,person_facepalming
my future career and happiness has been on my mind latelyam not giving up on myselfso help me god,folded_hands,folded_hands,weary_face
you will touch alot of money this week if you believe rt,folded_hands,folded_hands,rolling_on_the_floor_laughing
an egg burrito with chicken wheat tortillas and pinto beans,thinking_face,weary_face,thinking_face
john collins wore some extra gear in support of a hawks fan that just beat cancer,folded_hands,folded_hands,rolling_on_the_floor_laughing
ironically as a long time marvel fan i can not argue this tweet,person_facepalming,thinking_face,person_facepalming
written by a student of baltimore city public schools,folded_hands,folded_hands,person_facepalming
dont talk to him he tried talking to me,person_facepalming,person_facepalming,rolling_on_the_floor_laughing
soo i slept on gang gang,person_facepalming,person_facepalming,rolling_on_the_floor_laughing
so basically saying happy good friday is like saying enjoy jesus death,thinking_face,thinking_face,rolling_on_the_floor_laughing
i cant wait until me and him are both in the same place,person_facepalming,weary_face,person_facepalming
dont you hate when that happens,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,person_facepalming
needa take my ass to some raves this year,thinking_face,rolling_on_the_floor_laughing,person_facepalming
dont cheat if you gonna be homeless when you get caught,person_facepalming,thinking_face,person_facepalming
i be ready to break his mf face,person_facepalming,person_facepalming,rolling_on_the_floor_laughing
if yo line dry but people think its bussing retweet this,thinking_face,thinking_face,rolling_on_the_floor_laughing
you get the bag and fumble it,person_facepalming,person_facepalming,folded_hands
my man getting me some chick fil a at this time means soo much to me then any jewerly he ever got me,weary_face,weary_face,folded_hands
i swear on my life i read red and thought you were going to bring a poster dedicated to the red album to the rep tour,rolling_on_the_floor_laughing,thinking_face,person_facepalming
north philly starting they bullshit already,person_facepalming,person_facepalming,folded_hands
im so tired of hoes,person_facepalming,person_facepalming,rolling_on_the_floor_laughing
twice a year the sky of chiang mai thailand gets decorated by hundreds of thousands of floating lantern,weary_face,folded_hands,weary_face
i just wanna have some fun while shaking my protein but then this happen smh,person_facepalming,person_facepalming,weary_face
i need a full body message,weary_face,person_facepalming,rolling_on_the_floor_laughing
since when were you tan,person_facepalming,rolling_on_the_floor_laughing,person_facepalming
i wonder whats that filming then,thinking_face,thinking_face,rolling_on_the_floor_laughing
if mark mcmorris can b positive thru a broken femur and ruptured spleen i can b positive thru a broken leg and blown knee,thinking_face,folded_hands,thinking_face
i was recording us play volleyball and accidentally got this too,weary_face,weary_face,person_facepalming
haha dont cry travis,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,person_facepalming
damn everybody keep dying,person_facepalming,rolling_on_the_floor_laughing,person_facepalming
save it for xmas,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,person_facepalming
heat resistant up to 180c think they should defo put it to the test,thinking_face,rolling_on_the_floor_laughing,thinking_face
my heart swings back and forth between wanting to fall in love amp wanting to fall off a bridge,person_facepalming,person_facepalming,weary_face
our voting rate is slowing down set your own reminders to cast your votes amp stay consistent,folded_hands,folded_hands,weary_face
my hobby is getting drunk,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,person_facepalming
if the did nothing wrong in the fisa applications why is he stepping down things that make you say hmmm,thinking_face,thinking_face,person_facepalming
i got a question he look like is this him,thinking_face,rolling_on_the_floor_laughing,thinking_face
well heres one i think we could all agree on,thinking_face,thinking_face,rolling_on_the_floor_laughing
omni car,thinking_face,rolling_on_the_floor_laughing,person_facepalming
oh my gosh guys i figured it out,person_facepalming,rolling_on_the_floor_laughing,person_facepalming
blessed me with too many flaws thnq prabhu,folded_hands,folded_hands,weary_face
okay now i want a funnel cake,person_facepalming,rolling_on_the_floor_laughing,person_facepalming
can you please send me a link of this video please will be so greatful,folded_hands,folded_hands,weary_face
lord get these demons away,folded_hands,folded_hands,person_facepalming
bruno and cardi better come through with the in living color theme my edges are gone,weary_face,person_facepalming,weary_face
didnt you do that too mister kettle if so its just a body part,thinking_face,thinking_face,rolling_on_the_floor_laughing
amp if i dont have you attention nigga who got it,thinking_face,rolling_on_the_floor_laughing,person_facepalming
i need this on itunes,folded_hands,rolling_on_the_floor_laughing,person_facepalming
just want clear skin and a lot of money,weary_face,weary_face,folded_hands
congrats love,folded_hands,rolling_on_the_floor_laughing,person_facepalming
so its my deaf aunties birthday today and her entire finance team sang and learnt to sign language the song to her,weary_face,weary_face,person_facepalming
eng sub 180202 sbs choi hwa jungs power time fm ei tea on youtube,folded_hands,folded_hands,weary_face
plz dont text me talking bout sumn skimp and you aint een gotta scale,person_facepalming,person_facepalming,weary_face
mutual love is dope af,weary_face,rolling_on_the_floor_laughing,person_facepalming
i dont forget you,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,person_facepalming
bitches be delusional over these niggas thats not even crazy about them,weary_face,rolling_on_the_floor_laughing,person_facepalming
meanwhile at knicks hq,thinking_face,rolling_on_the_floor_laughing,person_facepalming
i think i got food poisoning from lunch,weary_face,rolling_on_the_floor_laughing,person_facepalming
having to wait 12 hours longer than others to watch this because you actually have a job,weary_face,weary_face,thinking_face
this generation on a wave i cant ride yall morals mindsets amp priorities jst off,weary_face,weary_face,person_facepalming
debut single out now link below,folded_hands,folded_hands,rolling_on_the_floor_laughing
chris brown,thinking_face,rolling_on_the_floor_laughing,person_facepalming
i can here the groans around the shit hole already as they play with 9 at the back,thinking_face,person_facepalming,weary_face
lmfao but yo when said he rap like he swallowing pudding i swear to god i pulled a muscle,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,weary_face
very sad and devastating news thank you for your support always,folded_hands,folded_hands,rolling_on_the_floor_laughing
thanks wml,folded_hands,rolling_on_the_floor_laughing,folded_hands
i just wanna go out of town,person_facepalming,person_facepalming,weary_face
doesnt like this pic for some reason,thinking_face,rolling_on_the_floor_laughing,person_facepalming
10 years later 32yearold andre ingram makes his nba debut,folded_hands,folded_hands,rolling_on_the_floor_laughing
the vote restarts in less than 30 minutes we can do better,folded_hands,folded_hands,thinking_face
this little boy wants everyone to see his painting please lets rt and encourage him,folded_hands,folded_hands,weary_face
also,folded_hands,rolling_on_the_floor_laughing,person_facepalming
chao fan with dumplings,thinking_face,rolling_on_the_floor_laughing,folded_hands
sooo we not gone talk about how these two scenes are different,thinking_face,rolling_on_the_floor_laughing,thinking_face
me after ive spent 2 minutes scrolling through a millionaires timeline on instagram,weary_face,weary_face,person_facepalming
this is a first i am feeling a little vain about my grey hair,thinking_face,folded_hands,rolling_on_the_floor_laughing
im enjoying radio romance more than expected,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,person_facepalming
youre not late,folded_hands,rolling_on_the_floor_laughing,person_facepalming
or i have a healthy appetite,thinking_face,rolling_on_the_floor_laughing,person_facepalming
screaming as loud as i can,folded_hands,rolling_on_the_floor_laughing,person_facepalming
i think i will do in a few hours,thinking_face,thinking_face,rolling_on_the_floor_laughing
tro be seasoning tf outta his food it be sooo good,weary_face,rolling_on_the_floor_laughing,person_facepalming
it was nice being the most recent qrt im glad it lasted overnight tyg,folded_hands,person_facepalming,rolling_on_the_floor_laughing
today going to be so long,person_facepalming,person_facepalming,rolling_on_the_floor_laughing
one more day til im back in nc the question is what to do the entire week im home,thinking_face,thinking_face,weary_face
my boa,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,person_facepalming
what do you think so far,thinking_face,rolling_on_the_floor_laughing,thinking_face
just now realizing all the shit i been through aint shit to what im bouta go through in the near future,person_facepalming,person_facepalming,weary_face
best thing ive seen this entire year,person_facepalming,person_facepalming,rolling_on_the_floor_laughing
this dude just said beautiful clean coal,person_facepalming,person_facepalming,rolling_on_the_floor_laughing
yall ever met somebody who never see their wrongdoings,rolling_on_the_floor_laughing,person_facepalming,rolling_on_the_floor_laughing
like how the fuck am i supposed to find the happiness you want me to have when you make me happy but wanna keep dodging my loyal ass,person_facepalming,thinking_face,folded_hands
being ill this weeks totally ruined my planned tanning days,weary_face,person_facepalming,weary_face
why did i think this was you,rolling_on_the_floor_laughing,person_facepalming,thinking_face
rated k,person_facepalming,rolling_on_the_floor_laughing,person_facepalming
someone take my phone,weary_face,rolling_on_the_floor_laughing,person_facepalming
i want something with some vinegar,thinking_face,rolling_on_the_floor_laughing,person_facepalming
good morning ji,folded_hands,rolling_on_the_floor_laughing,person_facepalming
these are the prettiest flowers ive ever seen omg,weary_face,person_facepalming,weary_face
lol she doesnt listen,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,person_facepalming
a real one gone ride man,weary_face,rolling_on_the_floor_laughing,folded_hands
everyone please,folded_hands,rolling_on_the_floor_laughing,person_facepalming
i told you it was christmas in april,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,person_facepalming
after june go bi so lmaof,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,person_facepalming
before ya claim a bitchsee how she gonna act inna room full of rich niggas,person_facepalming,person_facepalming,thinking_face
same bro,person_facepalming,rolling_on_the_floor_laughing,person_facepalming
thats not my دفعة,person_facepalming,rolling_on_the_floor_laughing,person_facepalming
yo who is this guy,weary_face,rolling_on_the_floor_laughing,person_facepalming
dlsunu updates pleaseee,folded_hands,rolling_on_the_floor_laughing,person_facepalming
i cant wait til the day im married to the loml traveling the world having kids and just experiencing life together,weary_face,weary_face,person_facepalming
join our storm plz,folded_hands,folded_hands,rolling_on_the_floor_laughing
lowkey where is ant man in this movie,thinking_face,thinking_face,rolling_on_the_floor_laughing
the guy was even w a bit,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,person_facepalming
plenty of room for the buggy,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,person_facepalming
what would jt know about the woods lets be real,thinking_face,rolling_on_the_floor_laughing,thinking_face
think im gonna draw a boy soon but who,thinking_face,thinking_face,rolling_on_the_floor_laughing
prayer goes a long way,folded_hands,folded_hands,person_facepalming
half black and i wanna be all black,weary_face,weary_face,person_facepalming
ugh my best friend is so fine,weary_face,person_facepalming,weary_face
let sleeping beauties lie,thinking_face,rolling_on_the_floor_laughing,person_facepalming
arkansas weather is so bipolar,person_facepalming,rolling_on_the_floor_laughing,person_facepalming
finished work 2 hours ago and im still awake whyyy,weary_face,person_facepalming,weary_face
jack what is your favorite song from the new album,thinking_face,thinking_face,rolling_on_the_floor_laughing
scary part about being a good person youll never have it in you to do a person how they did you,weary_face,thinking_face,rolling_on_the_floor_laughing
nothing worse than accidental reminders of such a bad time in your life,person_facepalming,person_facepalming,weary_face
please translate twitt srk into english and then google translates badly,folded_hands,folded_hands,rolling_on_the_floor_laughing
that street so crappy,weary_face,rolling_on_the_floor_laughing,person_facepalming
let me gone ahead and go back to sleep,person_facepalming,person_facepalming,rolling_on_the_floor_laughing
what is so attractive in guys that have gfs deadass someone lmk,thinking_face,person_facepalming,weary_face
handsome bunch no shame in not making cut i must be doing the away kit,thinking_face,thinking_face,rolling_on_the_floor_laughing
lack of sex be having you mad over lil shit,weary_face,weary_face,person_facepalming
beautiful soul sees beauty,folded_hands,rolling_on_the_floor_laughing,folded_hands
all of a sudden on march 22 im into boxing,thinking_face,rolling_on_the_floor_laughing,thinking_face
word it was like why 50 calling himself pussy,thinking_face,rolling_on_the_floor_laughing,person_facepalming
walk it talk it migos ft drake,folded_hands,rolling_on_the_floor_laughing,person_facepalming
games 2 4 1 1 wins 1 1 wins who will reach the final,thinking_face,thinking_face,folded_hands
no matter how successful your yesterday is may it never be better than your today,folded_hands,folded_hands,thinking_face
this hoe really saying the dolan twins raped her,person_facepalming,rolling_on_the_floor_laughing,person_facepalming
dang how mimis story in this season start off about joseline,person_facepalming,rolling_on_the_floor_laughing,thinking_face
i cant believe tomorrow isnt friday,weary_face,person_facepalming,rolling_on_the_floor_laughing
retweeting wont cost you anything appreciate this legend not all super heroes on art work are appreciated,folded_hands,folded_hands,rolling_on_the_floor_laughing
its okay to pray,folded_hands,rolling_on_the_floor_laughing,folded_hands
meek mill is about to be a free man finally,folded_hands,folded_hands,rolling_on_the_floor_laughing
i aint even one but when i tell you my heart burst and nearly screamed,weary_face,weary_face,person_facepalming
it is so touching to see this message sir thanking d great mother 4 givin us such a dedicated amp talented super star,folded_hands,folded_hands,weary_face
ive barely met but its seems like ive known her for a long time,weary_face,thinking_face,rolling_on_the_floor_laughing
free him for assault amp kidnapping,thinking_face,rolling_on_the_floor_laughing,person_facepalming
i love a girlfriend that always wants to hug up on you and kiss you for no reason like yesss baby come hereee,weary_face,weary_face,person_facepalming
i aim to please,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,folded_hands
dear god please dont let me get sick ive been on my best behavior,folded_hands,folded_hands,weary_face
retweet this if you want me to recreate the little boy yodeling video,thinking_face,thinking_face,folded_hands
fuck a beat i was tryna go to bible study,weary_face,person_facepalming,rolling_on_the_floor_laughing
another one im thinking north carolina blue with white guts,thinking_face,thinking_face,person_facepalming
you need to stop rejecting the blue check by your name,person_facepalming,person_facepalming,folded_hands
with this one single step adarneeya ji will become unchallenged hero of indian right,rolling_on_the_floor_laughing,folded_hands,rolling_on_the_floor_laughing
some canes sounds so fire,weary_face,rolling_on_the_floor_laughing,person_facepalming
180409 jimins tweet 起 filming episode photos,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,folded_hands
guys help me to get 1k rts and 500 likes in one week,folded_hands,folded_hands,weary_face
cant wait to write about the trip but first 3500word submission due on the 4th,person_facepalming,thinking_face,folded_hands
the disrespect,person_facepalming,rolling_on_the_floor_laughing,person_facepalming
yall lol he makes me sick how you doing all of this while you still sleep,person_facepalming,person_facepalming,rolling_on_the_floor_laughing
you not lyin dawg,person_facepalming,rolling_on_the_floor_laughing,person_facepalming
remind me again liberals what does trumps lawyer michael cohen paying a porn star have to do with russian collusion,thinking_face,thinking_face,rolling_on_the_floor_laughing
sooo im just now realizing the significance of your twitter handle,person_facepalming,weary_face,person_facepalming
february 15 looks like someone slept over someones house,thinking_face,rolling_on_the_floor_laughing,person_facepalming
time for some new glasses but i dont have insurance,weary_face,person_facepalming,thinking_face
i dont think it get anymore cornier then me,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,person_facepalming
mfs always hollerin free my nigga but aint put nun on his book or sent that nigga shit since he been locked up,thinking_face,rolling_on_the_floor_laughing,person_facepalming
when the chips are down try to find a bogeyman and invoke patriotism,thinking_face,person_facepalming,thinking_face
while women freely march in america for rights they already have,person_facepalming,folded_hands,rolling_on_the_floor_laughing
i told my dad i wanted to be famous and make money,person_facepalming,person_facepalming,weary_face
thank you to all the fans who voted for me and for stranger things at nickelodeon kids choice awards today a big,folded_hands,folded_hands,thinking_face
its fortunate that islam is the religion of peace can you imagine the problems we might have if it were violent,thinking_face,thinking_face,folded_hands
if you could create a gamereality tv show what would its premises be hmmm,thinking_face,thinking_face,folded_hands
happy easter,folded_hands,rolling_on_the_floor_laughing,person_facepalming
god willing,folded_hands,rolling_on_the_floor_laughing,person_facepalming
please retweet,folded_hands,rolling_on_the_floor_laughing,folded_hands
i need a small fortune to afford opening day tickets,weary_face,person_facepalming,rolling_on_the_floor_laughing
me walking up the steps in the clendenin building,weary_face,person_facepalming,rolling_on_the_floor_laughing
prepared for the worst but praying for the best,folded_hands,folded_hands,person_facepalming
im literally the most awkward person to talk to like dont even try to flirt with me ill make it weird,person_facepalming,person_facepalming,rolling_on_the_floor_laughing
so my sister has gone to see kendrick lamar tonight and she said theres a lot of caucasians i bet theyre gonna say the n word,weary_face,thinking_face,rolling_on_the_floor_laughing
can we make her birthday a holiday,thinking_face,rolling_on_the_floor_laughing,folded_hands
why worry when god always make a way,folded_hands,folded_hands,person_facepalming
why is pizza always the goto cure for a hangover,weary_face,thinking_face,person_facepalming
lol nooo why,weary_face,rolling_on_the_floor_laughing,person_facepalming
day 3 match at 650 pm,folded_hands,rolling_on_the_floor_laughing,folded_hands
feminist turns heartwarming sporting moment into attack on the patriarchy,person_facepalming,folded_hands,person_facepalming
skinny girls so damn gorgeous with they lil booty amp lil waist,weary_face,weary_face,person_facepalming
hoes will ride in your car smiling in yo face then back door you hoes fake,thinking_face,rolling_on_the_floor_laughing,thinking_face
you really gotta let go and let god cause if anybody knows its him,folded_hands,folded_hands,person_facepalming
thinking,thinking_face,rolling_on_the_floor_laughing,person_facepalming
i get so lazy to do my makeup this why i always look like a bum,weary_face,person_facepalming,weary_face
i swear shit be 10x funnier when you aint suppose to be laughing,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing,person_facepalming
everybody wants to be in a relationship but dont nobody wanna be loyal,thinking_face,person_facepalming,rolling_on_the_floor_laughing
i cant with you,person_facepalming,rolling_on_the_floor_laughing,person_facepalming
all my birthday twins bad asf,weary_face,person_facepalming,rolling_on_the_floor_laughing
retweeting wont cost you anything appreciate this legend not all super heroes on art work are appreciated,folded_hands,folded_hands,rolling_on_the_floor_laughing
support yo girl home girl is selling shoes dm for prices 27 72 9922918 yeah do the right thang,folded_hands,folded_hands,thinking_face
cause when i need to talk to xl the most her hoe ass is locked up,person_facepalming,person_facepalming,weary_face
i absolutely love this,weary_face,rolling_on_the_floor_laughing,person_facepalming
big words from big person thank u so much sir for ur big words and love,folded_hands,folded_hands,rolling_on_the_floor_laughing
are yall thinking what im thinking,thinking_face,thinking_face,rolling_on_the_floor_laughing
they be like cant even tell,person_facepalming,rolling_on_the_floor_laughing,person_facepalming
am i the reincarnation of picasso,thinking_face,thinking_face,rolling_on_the_floor_laughing
last defoliation i hope,folded_hands,rolling_on_the_floor_laughing,person_facepalming
i know,weary_face,rolling_on_the_floor_laughing,person_facepalming
